=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3103..............
Ep:1201 step:700(893598), a_t=[s=-0.12, t= 0.933487, b= 0.000000], r_t=[r= 144.36, prog= 485.60, pen=-17.50, r_old= 144.36], Reward=  79361.67 /  79361.67 /  259455.47, epsilon=  0.100, speed=  161.87, gear= 5, damage= 0.00
Ep:1201 step:720(893618), a_t=[s= 0.10, t= 0.945250, b= 0.000000], r_t=[r= 167.93, prog= 534.99, pen=-10.40, r_old= 167.93], Reward=  82125.32 /  82125.32 /  259455.47, epsilon=  0.100, speed=  178.38, gear= 6, damage= 0.00
Ep:1201 step:740(893638), a_t=[s= 0.59, t= 0.816411, b= 0.000000], r_t=[r= 116.75, prog= 482.01, pen=-43.92, r_old= 116.75], Reward=  84659.67 /  84659.67 /  259455.47, epsilon=  0.100, speed=  161.43, gear= 5, damage= 0.00
Server has stopped the race on 3103. You were in 1 place.
Race terminated or 100000 steps elapsed. Shutting down 3103.
Ep:1201 step:760(893658), a_t=[s= 0.54, t= 0.967737, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  86907.89 /  86907.89 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:780(893678), a_t=[s= 0.49, t= 0.957487, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  88512.57 /  88512.57 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:800(893698), a_t=[s= 0.50, t= 0.965444, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  90117.25 /  90117.25 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:820(893718), a_t=[s= 0.48, t= 0.955130, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  91721.93 /  91721.93 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:840(893738), a_t=[s= 0.39, t= 0.947624, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  93326.61 /  93326.61 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:860(893758), a_t=[s= 0.36, t= 0.963080, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  94931.29 /  94931.29 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:880(893778), a_t=[s= 0.39, t= 0.952499, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  96535.97 /  96535.97 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:900(893798), a_t=[s= 0.38, t= 0.936045, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  98140.65 /  98140.65 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:920(893818), a_t=[s= 0.55, t= 0.959223, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  99745.33 /  99745.33 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:940(893838), a_t=[s= 0.35, t= 0.955247, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  101350.01 /  101350.01 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:960(893858), a_t=[s= 0.55, t= 0.944211, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  102954.69 /  102954.69 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:980(893878), a_t=[s= 0.40, t= 0.943944, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  104559.36 /  104559.36 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1000(893898), a_t=[s= 0.60, t= 0.956301, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  106164.04 /  106164.04 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1020(893918), a_t=[s= 0.30, t= 0.933290, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  107768.72 /  107768.72 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1040(893938), a_t=[s= 0.34, t= 0.965092, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  109373.40 /  109373.40 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1060(893958), a_t=[s= 0.21, t= 0.951078, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  110978.08 /  110978.08 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1080(893978), a_t=[s= 0.32, t= 0.950753, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  112582.76 /  112582.76 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1100(893998), a_t=[s= 0.32, t= 0.937795, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  114187.44 /  114187.44 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1120(894018), a_t=[s= 0.44, t= 0.943413, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  115792.12 /  115792.12 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
