=============================================================
 starting episode: 300/2000
### TORCS is RELAUNCHED ###
Client connected on 3107..............
Ep:301 step:600(108493), a_t=[s= 0.78, t= 0.282070, b= 0.000000], r_t=[r= 0.08, prog= 0.57, pen=-0.48, r_old= 0.08], Reward=  88962.57 /  88347.38 /  298639.53, epsilon=  0.653, speed=  0.23, gear= 1, damage= 670.00
Ep:301 step:620(108513), a_t=[s= 0.68, t= 0.357936, b= 0.000000], r_t=[r= 0.34, prog= 1.54, pen=-1.20, r_old= 0.34], Reward=  88969.33 /  88354.14 /  298639.53, epsilon=  0.653, speed=  0.59, gear= 1, damage= 670.00
Ep:301 step:640(108533), a_t=[s=-0.43, t= 0.279659, b= 0.000000], r_t=[r= 0.61, prog= 1.96, pen=-1.35, r_old= 0.61], Reward=  88989.10 /  88373.91 /  298639.53, epsilon=  0.653, speed=  0.70, gear= 1, damage= 670.00
Ep:301 step:660(108553), a_t=[s= 0.14, t= 0.293258, b= 0.000000], r_t=[r= 51.22, prog= 117.43, pen=-66.22, r_old= 51.22], Reward=  89414.76 /  88799.56 /  298639.53, epsilon=  0.653, speed=  39.49, gear= 1, damage= 670.00
Ep:301 step:680(108573), a_t=[s= 0.65, t= 0.598488, b= 0.000000], r_t=[r= 194.16, prog= 229.60, pen=-35.44, r_old= 194.16], Reward=  91985.46 /  91370.27 /  298639.53, epsilon=  0.653, speed=  76.81, gear= 2, damage= 670.00
Ep:301 step:700(108593), a_t=[s=-0.80, t= 0.328616, b= 0.000000], r_t=[r= 129.21, prog= 234.45, pen=-105.24, r_old= 129.21], Reward=  94892.41 /  94277.22 /  298639.53, epsilon=  0.653, speed=  78.17, gear= 2, damage= 670.00
Ep:301 step:720(108613), a_t=[s=-0.43, t= 0.263195, b= 0.000000], r_t=[r= 143.39, prog= 254.65, pen=-111.26, r_old= 143.39], Reward=  98214.68 /  97599.49 /  298639.53, epsilon=  0.653, speed=  87.79, gear= 3, damage= 670.00
Ep:301 step:740(108633), a_t=[s=-0.13, t= 0.646378, b= 0.000000], r_t=[r= 250.85, prog= 312.65, pen=-61.81, r_old= 250.85], Reward=  102164.20 /  101549.01 /  298639.53, epsilon=  0.653, speed=  104.52, gear= 3, damage= 670.00
Ep:301 step:760(108653), a_t=[s=-0.57, t= 0.215139, b= 0.000000], r_t=[r= 119.72, prog= 296.35, pen=-176.64, r_old= 119.72], Reward=  106623.40 /  106008.21 /  298639.53, epsilon=  0.653, speed=  100.53, gear= 3, damage= 670.00
Ep:301 step:780(108673), a_t=[s=-0.47, t= 0.239269, b= 0.000000], r_t=[r= 175.25, prog= 267.44, pen=-92.19, r_old= 175.25], Reward=  110223.22 /  109480.04 /  298639.53, epsilon=  0.653, speed=  89.88, gear= 3, damage= 695.00
Ep:301 step:800(108693), a_t=[s=-0.43, t= 0.677060, b= 0.000000], r_t=[r= 249.07, prog= 270.31, pen=-21.23, r_old= 249.07], Reward=  113137.49 /  112172.95 /  298639.53, epsilon=  0.653, speed=  90.70, gear= 3, damage= 717.00
Ep:301 step:820(108713), a_t=[s= 0.28, t= 0.245173, b= 0.000000], r_t=[r= 49.15, prog= 257.56, pen=-208.41, r_old= 49.15], Reward=  116251.92 /  115287.38 /  298639.53, epsilon=  0.653, speed=  85.99, gear= 3, damage= 717.00
Ep:301 step:840(108733), a_t=[s= 0.28, t= 0.359114, b= 0.000000], r_t=[r=-40.71, prog= 84.19, pen=-124.90, r_old=-40.71], Reward=  116044.02 /  115079.48 /  298639.53, epsilon=  0.653, speed=  37.17, gear= 1, damage= 717.00
Ep:301 step:860(108753), a_t=[s= 0.03, t= 0.211049, b= 0.000000], r_t=[r= 23.22, prog= 137.76, pen=-114.54, r_old= 23.22], Reward=  116075.05 /  115110.50 /  298639.53, epsilon=  0.652, speed=  49.62, gear= 1, damage= 717.00
Ep:301 step:880(108773), a_t=[s=-0.40, t= 0.499346, b= 0.000000], r_t=[r= 56.08, prog= 158.53, pen=-102.46, r_old= 56.08], Reward=  117048.13 /  116038.22 /  298639.53, epsilon=  0.652, speed=  54.95, gear= 2, damage= 743.00
Ep:301 step:900(108793), a_t=[s=-0.92, t= 0.716758, b= 0.000000], r_t=[r= 210.95, prog= 246.74, pen=-35.79, r_old= 210.95], Reward=  119329.02 /  118248.24 /  298639.53, epsilon=  0.652, speed=  82.38, gear= 2, damage= 745.00
Ep:301 step:920(108813), a_t=[s= 0.02, t= 0.727666, b= 0.000000], r_t=[r= 228.07, prog= 284.82, pen=-56.75, r_old= 228.07], Reward=  123539.08 /  122458.30 /  298639.53, epsilon=  0.652, speed=  95.43, gear= 3, damage= 745.00
Ep:301 step:940(108833), a_t=[s= 0.56, t= 0.634933, b= 0.000000], r_t=[r= 170.10, prog= 273.55, pen=-103.44, r_old= 170.10], Reward=  127212.04 /  126131.25 /  298639.53, epsilon=  0.652, speed=  97.63, gear= 3, damage= 745.00
Ep:301 step:960(108853), a_t=[s=-0.44, t= 0.808835, b= 0.000000], r_t=[r= 283.33, prog= 328.94, pen=-45.61, r_old= 283.33], Reward=  132240.09 /  131159.31 /  298639.53, epsilon=  0.652, speed=  110.46, gear= 3, damage= 745.00
Ep:301 step:980(108873), a_t=[s=-0.77, t= 0.679632, b= 0.000000], r_t=[r= 296.01, prog= 327.42, pen=-31.41, r_old= 296.01], Reward=  138245.55 /  137164.77 /  298639.53, epsilon=  0.652, speed=  111.58, gear= 4, damage= 745.00
Ep:301 step:1000(108893), a_t=[s= 0.16, t= 0.578989, b= 0.000000], r_t=[r= 267.41, prog= 302.30, pen=-34.89, r_old= 267.41], Reward=  143727.45 /  142646.67 /  298639.53, epsilon=  0.652, speed=  101.86, gear= 3, damage= 745.00
Ep:301 step:1020(108913), a_t=[s= 0.72, t= 0.729802, b= 0.000000], r_t=[r= 320.91, prog= 329.98, pen=-9.07, r_old= 320.91], Reward=  149656.22 /  148575.43 /  298639.53, epsilon=  0.652, speed=  110.00, gear= 3, damage= 745.00
Ep:301 step:1040(108933), a_t=[s= 0.19, t= 0.640327, b= 0.000000], r_t=[r= 229.30, prog= 326.22, pen=-96.91, r_old= 229.30], Reward=  154741.42 /  153660.64 /  298639.53, epsilon=  0.652, speed=  109.40, gear= 3, damage= 745.00
Ep:301 step:1060(108953), a_t=[s= 0.55, t= 0.275524, b= 0.000000], r_t=[r= 144.35, prog= 299.57, pen=-155.22, r_old= 144.35], Reward=  158562.65 /  157481.87 /  298639.53, epsilon=  0.652, speed=  101.19, gear= 3, damage= 745.00
Ep:301 step:1080(108973), a_t=[s=-1.00, t= 0.651549, b= 0.000000], r_t=[r= 303.72, prog= 319.73, pen=-16.01, r_old= 303.72], Reward=  163109.45 /  162028.67 /  298639.53, epsilon=  0.652, speed=  107.31, gear= 3, damage= 745.00
Ep:301 step:1100(108993), a_t=[s= 0.17, t= 0.310818, b= 0.000000], r_t=[r= 134.31, prog= 305.96, pen=-171.64, r_old= 134.31], Reward=  168077.09 /  166996.31 /  298639.53, epsilon=  0.652, speed=  103.73, gear= 3, damage= 745.00
Ep:301 step:1120(109013), a_t=[s= 1.00, t= 0.528191, b= 0.000000], r_t=[r= 154.95, prog= 273.48, pen=-118.53, r_old= 154.95], Reward=  170625.01 /  169422.79 /  298639.53, epsilon=  0.652, speed=  91.43, gear= 3, damage= 760.00
Ep:301 step:1140(109033), a_t=[s= 0.17, t= 0.317391, b= 0.000000], r_t=[r= 116.30, prog= 263.54, pen=-147.24, r_old= 116.30], Reward=  173965.74 /  172675.41 /  298639.53, epsilon=  0.652, speed=  87.99, gear= 3, damage= 789.00
Ep:301 step:1160(109053), a_t=[s=-0.14, t= 0.332212, b= 0.000000], r_t=[r= 108.90, prog= 238.99, pen=-130.10, r_old= 108.90], Reward=  176189.78 /  174899.45 /  298639.53, epsilon=  0.651, speed=  81.90, gear= 3, damage= 789.00
Ep:301 step:1180(109073), a_t=[s=-0.17, t= 0.331027, b= 0.000000], r_t=[r= 137.92, prog= 240.10, pen=-102.18, r_old= 137.92], Reward=  178493.53 /  177123.23 /  298639.53, epsilon=  0.651, speed=  80.25, gear= 2, damage= 798.00
Ep:301 step:1200(109093), a_t=[s=-0.27, t= 0.332427, b= 0.000000], r_t=[r= 103.17, prog= 247.30, pen=-144.14, r_old= 103.17], Reward=  181150.73 /  179780.44 /  298639.53, epsilon=  0.651, speed=  83.14, gear= 3, damage= 798.00
Ep:301 step:1220(109113), a_t=[s= 0.49, t= 0.334748, b= 0.000000], r_t=[r= 55.66, prog= 166.75, pen=-111.09, r_old= 55.66], Reward=  183046.91 /  181635.03 /  298639.53, epsilon=  0.651, speed=  58.60, gear= 2, damage= 974.00
Ep:301 step:1240(109133), a_t=[s= 0.33, t= 0.643531, b= 0.000000], r_t=[r= 155.54, prog= 216.09, pen=-60.54, r_old= 155.54], Reward=  184973.60 /  183561.72 /  298639.53, epsilon=  0.651, speed=  72.22, gear= 2, damage= 974.00
Ep:301 step:1260(109153), a_t=[s= 0.23, t= 0.307567, b= 0.000000], r_t=[r= 99.17, prog= 252.32, pen=-153.16, r_old= 99.17], Reward=  188705.50 /  187293.62 /  298639.53, epsilon=  0.651, speed=  86.66, gear= 3, damage= 974.00
Ep:301 step:1280(109173), a_t=[s= 0.79, t= 0.341194, b= 0.000000], r_t=[r= 28.79, prog= 241.20, pen=-212.42, r_old= 28.79], Reward=  189312.74 /  187906.64 /  298639.53, epsilon=  0.651, speed=  81.46, gear= 3, damage= 982.00
Ep:301 step:1300(109193), a_t=[s=-0.54, t= 0.202390, b= 0.000000], r_t=[r= 87.02, prog= 208.06, pen=-121.05, r_old= 87.02], Reward=  191034.16 /  189550.97 /  298639.53, epsilon=  0.651, speed=  70.55, gear= 2, damage= 1038.00
Ep:301 step:1320(109213), a_t=[s=-1.00, t= 0.590387, b= 0.000000], r_t=[r= 132.84, prog= 231.07, pen=-98.24, r_old= 132.84], Reward=  193529.47 /  192046.28 /  298639.53, epsilon=  0.651, speed=  78.29, gear= 3, damage= 1038.00
Ep:301 step:1340(109233), a_t=[s=-0.36, t= 0.696803, b= 0.000000], r_t=[r= 216.03, prog= 250.75, pen=-34.72, r_old= 216.03], Reward=  197027.38 /  195544.19 /  298639.53, epsilon=  0.651, speed=  84.17, gear= 3, damage= 1038.00
Ep:301 step:1360(109253), a_t=[s=-0.28, t= 0.599135, b= 0.000000], r_t=[r= 286.42, prog= 303.68, pen=-17.26, r_old= 286.42], Reward=  201960.69 /  200477.50 /  298639.53, epsilon=  0.651, speed=  102.48, gear= 3, damage= 1038.00
