=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:1 step:1200(1279), a_t=[s= 0.49, t= 0.606870, b= 0.000000], r_t=[r= 3.39, prog= 8.71, pen=-5.32, r_old= 3.39], Reward=  6200.87 /  6054.61 /  4887.92, epsilon=  0.996, speed=  2.95, gear= 1, damage= 783.00
Ep:1 step:1220(1299), a_t=[s=-0.42, t= 0.450777, b= 0.000000], r_t=[r= 4.62, prog= 12.28, pen=-7.66, r_old= 4.62], Reward=  6275.80 /  6129.54 /  4887.92, epsilon=  0.996, speed=  4.19, gear= 1, damage= 783.00
Ep:1 step:1240(1319), a_t=[s= 0.40, t= 0.533040, b= 0.000000], r_t=[r= 11.11, prog= 28.49, pen=-17.38, r_old= 11.11], Reward=  6403.38 /  6257.12 /  4887.92, epsilon=  0.996, speed=  9.66, gear= 1, damage= 783.00
Ep:1 step:1260(1339), a_t=[s=-0.11, t= 0.548925, b= 0.000000], r_t=[r= 17.94, prog= 51.14, pen=-33.20, r_old= 17.94], Reward=  6701.30 /  6555.04 /  4887.92, epsilon=  0.996, speed=  17.77, gear= 1, damage= 783.00
Ep:1 step:1280(1359), a_t=[s=-0.31, t= 0.573847, b= 0.000000], r_t=[r=-0.10, prog= 0.29, pen=-0.39, r_old=-0.10], Reward=  6841.85 /  6695.59 /  4887.92, epsilon=  0.995, speed=  0.17, gear= 1, damage= 783.00
Ep:1 step:1300(1379), a_t=[s=-0.33, t= 0.499465, b= 0.000000], r_t=[r=-0.05, prog= 0.17, pen=-0.22, r_old=-0.05], Reward=  6840.06 /  6693.80 /  4887.92, epsilon=  0.995, speed=  0.10, gear= 1, damage= 783.00
Ep:1 step:1320(1399), a_t=[s= 0.81, t= 0.609396, b= 0.000000], r_t=[r=-0.07, prog= 0.33, pen=-0.40, r_old=-0.07], Reward=  6838.02 /  6691.75 /  4887.92, epsilon=  0.995, speed=  0.18, gear= 1, damage= 783.00
Ep:1 step:1340(1419), a_t=[s= 0.26, t= 0.475122, b= 0.000000], r_t=[r=-0.16, prog= 1.17, pen=-1.33, r_old=-0.16], Reward=  6836.36 /  6690.10 /  4887.92, epsilon=  0.995, speed=  0.59, gear= 1, damage= 783.00
Ep:1 step:1360(1439), a_t=[s= 1.00, t= 0.676291, b= 0.000000], r_t=[r=-0.02, prog= 0.29, pen=-0.31, r_old=-0.02], Reward=  6835.33 /  6689.07 /  4887.92, epsilon=  0.995, speed=  0.14, gear= 1, damage= 783.00
Ep:1 step:1380(1459), a_t=[s= 1.00, t= 0.491970, b= 0.000000], r_t=[r=-0.01, prog= 0.38, pen=-0.39, r_old=-0.01], Reward=  6834.78 /  6688.51 /  4887.92, epsilon=  0.995, speed=  0.18, gear= 1, damage= 783.00
Ep:1 step:1400(1479), a_t=[s= 0.21, t= 0.502330, b= 0.000000], r_t=[r= 0.04, prog= 1.31, pen=-1.27, r_old= 0.04], Reward=  6834.86 /  6688.60 /  4887.92, epsilon=  0.995, speed=  0.59, gear= 1, damage= 783.00
Ep:1 step:1420(1499), a_t=[s=-0.43, t= 0.439402, b= 0.000000], r_t=[r= 0.13, prog= 1.54, pen=-1.41, r_old= 0.13], Reward=  6835.87 /  6689.61 /  4887.92, epsilon=  0.995, speed=  0.66, gear= 1, damage= 783.00
Ep:1 step:1440(1519), a_t=[s=-0.26, t= 0.540884, b= 0.000000], r_t=[r= 0.19, prog= 1.39, pen=-1.20, r_old= 0.19], Reward=  6838.66 /  6692.40 /  4887.92, epsilon=  0.995, speed=  0.57, gear= 1, damage= 783.00
