=============================================================
 starting episode: 0/2000
Client connected on 3101..............
Ep:2 step:620(1080), a_t=[s=-0.49, t= 0.444164, b= 0.000000], r_t=[r=-0.68, prog= 1.00, pen=-1.02, r_old=-0.68], Reward= -378.54 / -378.54 / -2262.38, epsilon=  0.996, speed=  0.40, gear= 1, damage= 893.00
Ep:2 step:640(1100), a_t=[s=-0.10, t= 0.335491, b= 0.000000], r_t=[r=-0.60, prog= 0.91, pen=-0.90, r_old=-0.60], Reward= -395.27 / -395.27 / -2262.38, epsilon=  0.996, speed=  0.36, gear= 1, damage= 893.00
Ep:2 step:660(1120), a_t=[s=-0.65, t= 0.734148, b= 0.000000], r_t=[r=-1.28, prog= 2.04, pen=-1.96, r_old=-1.28], Reward= -413.25 / -413.25 / -2262.38, epsilon=  0.996, speed=  0.78, gear= 1, damage= 893.00
Ep:2 step:680(1140), a_t=[s=-0.30, t= 0.456181, b= 0.000000], r_t=[r=-0.65, prog= 1.09, pen=-1.02, r_old=-0.65], Reward= -432.40 / -432.40 / -2262.38, epsilon=  0.996, speed=  0.41, gear= 1, damage= 893.00
Ep:2 step:700(1160), a_t=[s=-0.90, t= 0.516193, b= 0.000000], r_t=[r=-0.91, prog= 1.54, pen=-1.42, r_old=-0.91], Reward= -448.76 / -448.76 / -2262.38, epsilon=  0.996, speed=  0.58, gear= 1, damage= 893.00
Ep:2 step:720(1180), a_t=[s=-1.00, t= 0.326727, b= 0.000000], r_t=[r=-0.11, prog= 0.19, pen=-0.17, r_old=-0.11], Reward= -468.67 / -468.67 / -2262.38, epsilon=  0.996, speed=  0.07, gear= 1, damage= 893.00
Ep:2 step:740(1200), a_t=[s= 0.27, t= 0.399027, b= 0.000000], r_t=[r=-1.08, prog= 1.97, pen=-1.74, r_old=-1.08], Reward= -492.66 / -492.66 / -2262.38, epsilon=  0.996, speed=  0.72, gear= 1, damage= 893.00
Ep:2 step:760(1220), a_t=[s= 0.04, t= 0.529879, b= 0.000000], r_t=[r=-1.80, prog= 3.44, pen=-2.95, r_old=-1.80], Reward= -523.35 / -523.35 / -2262.38, epsilon=  0.996, speed=  1.23, gear= 1, damage= 893.00
Ep:2 step:780(1240), a_t=[s= 0.47, t= 0.476436, b= 0.000000], r_t=[r=-2.03, prog= 4.00, pen=-3.37, r_old=-2.03], Reward= -554.09 / -554.09 / -2262.38, epsilon=  0.996, speed=  1.42, gear= 1, damage= 893.00
Ep:2 step:800(1260), a_t=[s=-1.00, t= 0.578024, b= 0.000000], r_t=[r=-0.84, prog= 1.64, pen=-1.38, r_old=-0.84], Reward= -574.84 / -574.84 / -2262.38, epsilon=  0.996, speed=  0.58, gear= 1, damage= 893.00
Ep:2 step:820(1280), a_t=[s= 1.00, t= 0.343459, b= 0.000000], r_t=[r=-1.87, prog= 3.74, pen=-3.12, r_old=-1.87], Reward= -600.93 / -600.93 / -2262.38, epsilon=  0.996, speed=  1.33, gear= 1, damage= 893.00
Ep:2 step:840(1300), a_t=[s= 1.00, t= 0.366531, b= 0.000000], r_t=[r=-2.35, prog= 4.81, pen=-3.96, r_old=-2.35], Reward= -629.93 / -629.93 / -2262.38, epsilon=  0.996, speed=  1.70, gear= 1, damage= 893.00
Ep:2 step:860(1320), a_t=[s=-0.26, t= 0.476628, b= 0.000000], r_t=[r=-1.96, prog= 4.12, pen=-3.34, r_old=-1.96], Reward= -665.30 / -665.30 / -2262.38, epsilon=  0.996, speed=  1.44, gear= 1, damage= 893.00
Ep:2 step:880(1340), a_t=[s=-0.38, t= 0.522062, b= 0.000000], r_t=[r=-1.32, prog= 2.93, pen=-2.29, r_old=-1.32], Reward= -715.35 / -715.35 / -2262.38, epsilon=  0.996, speed=  1.01, gear= 1, damage= 893.00
Ep:2 step:900(1360), a_t=[s=-0.84, t= 0.466151, b= 0.000000], r_t=[r=-1.54, prog= 3.48, pen=-2.70, r_old=-1.54], Reward= -750.37 / -750.37 / -2262.38, epsilon=  0.995, speed=  1.20, gear= 1, damage= 893.00
Ep:2 step:920(1380), a_t=[s=-0.86, t= 0.411300, b= 0.000000], r_t=[r=-1.98, prog= 4.69, pen=-3.54, r_old=-1.98], Reward= -799.95 / -799.95 / -2262.38, epsilon=  0.995, speed=  1.60, gear= 1, damage= 893.00
Ep:2 step:940(1400), a_t=[s=-1.00, t= 0.520488, b= 0.000000], r_t=[r=-1.07, prog= 2.47, pen=-1.89, r_old=-1.07], Reward= -830.85 / -830.85 / -2262.38, epsilon=  0.995, speed=  0.85, gear= 1, damage= 893.00
Ep:2 step:960(1420), a_t=[s= 0.07, t= 0.482540, b= 0.000000], r_t=[r=-1.82, prog= 4.43, pen=-3.29, r_old=-1.82], Reward= -889.03 / -889.03 / -2262.38, epsilon=  0.995, speed=  1.51, gear= 1, damage= 893.00
Ep:2 step:980(1440), a_t=[s= 0.21, t= 0.587036, b= 0.000000], r_t=[r=-4.87, prog= 12.18, pen=-8.93, r_old=-4.87], Reward= -939.44 / -939.44 / -2262.38, epsilon=  0.995, speed=  4.14, gear= 1, damage= 893.00
Ep:2 step:1000(1460), a_t=[s=-1.00, t= 0.567319, b= 0.000000], r_t=[r=-1.17, prog= 2.96, pen=-2.15, r_old=-1.17], Reward= -1002.22 / -1002.22 / -2262.38, epsilon=  0.995, speed=  1.01, gear= 1, damage= 893.00
Ep:2 step:1020(1480), a_t=[s=-0.48, t= 0.523457, b= 0.000000], r_t=[r=-1.57, prog= 4.01, pen=-2.91, r_old=-1.57], Reward= -1047.20 / -1047.20 / -2262.38, epsilon=  0.995, speed=  1.37, gear= 1, damage= 893.00
