=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:3 step:200(1122), a_t=[s=-1.00, t= 0.575072, b= 0.000000], r_t=[r=-0.11, prog= 0.04, pen=-0.12, r_old=-0.11], Reward= -839.73 / -839.73 / -960.73, epsilon=  0.996, speed=  0.04, gear= 1, damage= 503.00
Ep:3 step:220(1142), a_t=[s= 1.00, t= 0.728617, b= 0.000000], r_t=[r=-0.11, prog= 0.05, pen=-0.13, r_old=-0.11], Reward= -844.26 / -844.26 / -960.73, epsilon=  0.996, speed=  0.04, gear= 1, damage= 503.00
Ep:3 step:240(1162), a_t=[s= 0.44, t= 0.510229, b= 0.000000], r_t=[r=-0.24, prog= 0.11, pen=-0.28, r_old=-0.24], Reward= -847.52 / -847.52 / -960.73, epsilon=  0.996, speed=  0.09, gear= 1, damage= 503.00
Ep:3 step:260(1182), a_t=[s=-0.38, t= 0.492639, b= 0.000000], r_t=[r=-0.25, prog= 0.12, pen=-0.29, r_old=-0.25], Reward= -851.27 / -851.27 / -960.73, epsilon=  0.996, speed=  0.10, gear= 1, damage= 503.00
Ep:3 step:280(1202), a_t=[s=-0.18, t= 0.461553, b= 0.000000], r_t=[r=-0.51, prog= 0.28, pen=-0.61, r_old=-0.51], Reward= -856.45 / -856.45 / -960.73, epsilon=  0.996, speed=  0.21, gear= 1, damage= 503.00
Ep:3 step:300(1222), a_t=[s=-0.82, t= 0.674859, b= 0.000000], r_t=[r=-0.29, prog= 0.17, pen=-0.34, r_old=-0.29], Reward= -863.00 / -863.00 / -960.73, epsilon=  0.996, speed=  0.12, gear= 1, damage= 503.00
Ep:3 step:320(1242), a_t=[s=-0.57, t= 0.267487, b= 0.000000], r_t=[r=-0.12, prog= 0.08, pen=-0.15, r_old=-0.12], Reward= -869.71 / -869.71 / -960.73, epsilon=  0.996, speed=  0.05, gear= 1, damage= 503.00
Ep:3 step:340(1262), a_t=[s=-0.76, t= 0.410738, b= 0.000000], r_t=[r=-0.45, prog= 0.30, pen=-0.55, r_old=-0.45], Reward= -876.40 / -876.40 / -960.73, epsilon=  0.996, speed=  0.19, gear= 1, damage= 503.00
Ep:3 step:360(1282), a_t=[s= 0.06, t= 0.489145, b= 0.000000], r_t=[r=-0.19, prog= 0.13, pen=-0.23, r_old=-0.19], Reward= -881.02 / -881.02 / -960.73, epsilon=  0.996, speed=  0.08, gear= 1, damage= 503.00
Ep:3 step:380(1302), a_t=[s= 1.00, t= 0.705200, b= 0.000000], r_t=[r=-0.34, prog= 0.26, pen=-0.42, r_old=-0.34], Reward= -887.17 / -887.17 / -960.73, epsilon=  0.996, speed=  0.15, gear= 1, damage= 503.00
