=============================================================
 starting episode: 1900/2000
Client connected on 3105..............
Ep:1902 step:620(1263430), a_t=[s= 0.03, t= 0.939487, b= 0.000000], r_t=[r= 485.77, prog= 521.15, pen=-35.38, r_old= 485.77], Reward=  243956.29 /  243956.29 /  834958.44, epsilon=  0.100, speed=  173.83, gear= 6, damage= 0.00
Ep:1902 step:640(1263450), a_t=[s= 0.18, t= 0.949092, b= 0.000000], r_t=[r= 282.90, prog= 374.23, pen=-91.33, r_old= 282.90], Reward=  251653.62 /  251653.62 /  834958.44, epsilon=  0.100, speed=  129.21, gear= 4, damage= 0.00
Ep:1902 step:660(1263470), a_t=[s= 0.37, t= 0.371286, b= 0.000000], r_t=[r= 328.06, prog= 356.46, pen=-28.39, r_old= 328.06], Reward=  258991.41 /  258991.41 /  834958.44, epsilon=  0.100, speed=  118.84, gear= 4, damage= 0.00
Ep:1902 step:680(1263490), a_t=[s=-0.63, t= 0.950769, b= 0.000000], r_t=[r= 338.32, prog= 428.97, pen=-90.65, r_old= 338.32], Reward=  266361.97 /  266361.97 /  834958.44, epsilon=  0.100, speed=  143.90, gear= 5, damage= 0.00
Ep:1902 step:700(1263510), a_t=[s= 0.18, t= 0.978871, b= 0.000000], r_t=[r= 351.59, prog= 443.40, pen=-91.80, r_old= 351.59], Reward=  273426.48 /  273426.48 /  834958.44, epsilon=  0.100, speed=  148.36, gear= 5, damage= 0.00
Ep:1902 step:720(1263530), a_t=[s= 0.19, t= 0.951087, b= 0.000000], r_t=[r= 478.99, prog= 503.67, pen=-24.68, r_old= 478.99], Reward=  281590.38 /  281590.38 /  834958.44, epsilon=  0.100, speed=  168.19, gear= 5, damage= 0.00
Ep:1902 step:740(1263550), a_t=[s= 0.05, t= 0.938575, b= 0.000000], r_t=[r= 450.41, prog= 511.83, pen=-61.41, r_old= 450.41], Reward=  290917.43 /  290917.43 /  834958.44, epsilon=  0.100, speed=  170.61, gear= 5, damage= 0.00
Ep:1902 step:760(1263570), a_t=[s= 0.33, t= 0.950700, b= 0.000000], r_t=[r= 426.30, prog= 436.76, pen=-10.46, r_old= 426.30], Reward=  299388.05 /  299388.05 /  834958.44, epsilon=  0.100, speed=  145.68, gear= 5, damage= 0.00
Server has stopped the race on 3105. You were in 1 place.
Race terminated or 100000 steps elapsed. Shutting down 3105.
Ep:1902 step:780(1263590), a_t=[s= 0.33, t= 0.950409, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  306947.41 /  306947.41 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:800(1263610), a_t=[s= 0.46, t= 0.960262, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  314438.56 /  314438.56 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:820(1263630), a_t=[s= 0.52, t= 0.940674, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  321929.71 /  321929.71 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:840(1263650), a_t=[s= 0.51, t= 0.932619, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  329420.86 /  329420.86 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:860(1263670), a_t=[s= 0.60, t= 0.950797, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  336912.01 /  336912.01 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:880(1263690), a_t=[s= 0.58, t= 0.946448, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  344403.16 /  344403.16 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:900(1263710), a_t=[s= 0.49, t= 0.937943, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  351894.31 /  351894.31 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:920(1263730), a_t=[s= 0.41, t= 0.931249, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  359385.46 /  359385.46 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:940(1263750), a_t=[s= 0.76, t= 0.950302, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  366876.61 /  366876.61 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
Ep:1902 step:960(1263770), a_t=[s= 0.69, t= 0.961373, b= 0.000000], r_t=[r= 374.56, prog= 432.85, pen=-58.29, r_old= 374.56], Reward=  374367.76 /  374367.76 /  834958.44, epsilon=  0.100, speed=  145.26, gear= 5, damage= 0.00
