=============================================================
 starting episode: 200/2000
Client connected on 3105..............
Ep:200 step:1240(100057), a_t=[s= 0.02, t= 0.311200, b= 0.000000], r_t=[r= 2.14, prog= 2.26, pen=-0.12, r_old= 2.14], Reward=  1418.14 /  1418.14 /  294266.38, epsilon=  0.692, speed=  0.76, gear= 1, damage= 0.00
Ep:200 step:1260(100077), a_t=[s= 0.38, t= 0.000076, b= 0.000000], r_t=[r= 1.35, prog= 1.42, pen=-0.07, r_old= 1.35], Reward=  1454.32 /  1454.32 /  294266.38, epsilon=  0.692, speed=  0.48, gear= 1, damage= 0.00
Ep:200 step:1280(100097), a_t=[s= 0.20, t= 0.000111, b= 0.000000], r_t=[r= 0.04, prog= 0.05, pen=-0.00, r_old= 0.04], Reward=  1469.81 /  1469.81 /  294266.38, epsilon=  0.692, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:1300(100117), a_t=[s=-0.26, t= 0.017113, b= 0.000000], r_t=[r=-0.17, prog=-0.16, pen=-0.01, r_old=-0.17], Reward=  1472.13 /  1472.13 /  294266.38, epsilon=  0.692, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:1320(100137), a_t=[s= 0.79, t= 0.000023, b= 0.000000], r_t=[r=-0.41, prog=-0.39, pen=-0.02, r_old=-0.41], Reward=  1468.68 /  1468.68 /  294266.38, epsilon=  0.692, speed= -0.13, gear= 1, damage= 0.00
Ep:200 step:1340(100157), a_t=[s= 0.03, t= 0.000502, b= 0.000000], r_t=[r= 0.14, prog= 0.15, pen=-0.01, r_old= 0.14], Reward=  1485.17 /  1485.17 /  294266.38, epsilon=  0.692, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:1360(100177), a_t=[s=-0.01, t= 0.007540, b= 0.000000], r_t=[r=-0.30, prog=-0.29, pen=-0.01, r_old=-0.30], Reward=  1481.87 /  1481.87 /  294266.38, epsilon=  0.692, speed= -0.10, gear= 1, damage= 0.00
Ep:200 step:1380(100197), a_t=[s= 0.02, t= 0.006319, b= 0.000000], r_t=[r=-0.36, prog=-0.35, pen=-0.01, r_old=-0.36], Reward=  1482.26 /  1482.26 /  294266.38, epsilon=  0.692, speed= -0.12, gear= 1, damage= 0.00
Ep:200 step:1400(100217), a_t=[s= 0.17, t= 0.002326, b= 0.000000], r_t=[r= 3.45, prog= 3.66, pen=-0.21, r_old= 3.45], Reward=  1531.58 /  1531.58 /  294266.38, epsilon=  0.692, speed=  1.23, gear= 1, damage= 0.00
Ep:200 step:1420(100237), a_t=[s= 0.02, t= 0.004800, b= 0.000000], r_t=[r= 0.94, prog= 0.99, pen=-0.05, r_old= 0.94], Reward=  1572.30 /  1572.30 /  294266.38, epsilon=  0.692, speed=  0.33, gear= 1, damage= 0.00
Ep:200 step:1440(100257), a_t=[s= 0.53, t= 0.000057, b= 0.000000], r_t=[r= 1.56, prog= 1.64, pen=-0.08, r_old= 1.56], Reward=  1622.62 /  1622.62 /  294266.38, epsilon=  0.692, speed=  0.55, gear= 1, damage= 0.00
Ep:200 step:1460(100277), a_t=[s= 0.75, t= 0.000086, b= 0.000000], r_t=[r= 3.06, prog= 3.22, pen=-0.16, r_old= 3.06], Reward=  1642.84 /  1642.84 /  294266.38, epsilon=  0.692, speed=  1.09, gear= 1, damage= 0.00
Ep:200 step:1480(100297), a_t=[s= 0.07, t= 0.005090, b= 0.000000], r_t=[r= 4.46, prog= 4.73, pen=-0.27, r_old= 4.46], Reward=  1701.76 /  1701.76 /  294266.38, epsilon=  0.692, speed=  1.60, gear= 1, damage= 0.00
Ep:200 step:1500(100317), a_t=[s=-0.57, t= 0.179666, b= 0.000000], r_t=[r= 2.00, prog= 2.12, pen=-0.12, r_old= 2.00], Reward=  1742.63 /  1742.63 /  294266.38, epsilon=  0.692, speed=  0.72, gear= 1, damage= 0.00
Ep:200 step:1520(100337), a_t=[s= 0.52, t= 0.000159, b= 0.000000], r_t=[r=-0.36, prog=-0.34, pen=-0.01, r_old=-0.36], Reward=  1744.32 /  1744.32 /  294266.38, epsilon=  0.692, speed= -0.12, gear= 1, damage= 0.00
Ep:200 step:1540(100357), a_t=[s= 0.52, t= 0.014939, b= 0.000000], r_t=[r= 0.43, prog= 0.46, pen=-0.02, r_old= 0.43], Reward=  1748.20 /  1748.20 /  294266.38, epsilon=  0.692, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:1560(100377), a_t=[s=-0.11, t= 0.000957, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  1754.09 /  1754.09 /  294266.38, epsilon=  0.692, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1580(100397), a_t=[s= 0.60, t= 0.000008, b= 0.000000], r_t=[r= 6.23, prog= 6.59, pen=-0.36, r_old= 6.23], Reward=  1785.53 /  1785.53 /  294266.38, epsilon=  0.692, speed=  2.22, gear= 1, damage= 0.00
Ep:200 step:1600(100417), a_t=[s= 0.37, t= 0.014407, b= 0.000000], r_t=[r= 2.01, prog= 2.13, pen=-0.12, r_old= 2.01], Reward=  1852.82 /  1852.82 /  294266.38, epsilon=  0.692, speed=  0.72, gear= 1, damage= 0.00
Ep:200 step:1620(100437), a_t=[s= 0.16, t= 0.001266, b= 0.000000], r_t=[r= 3.05, prog= 3.24, pen=-0.19, r_old= 3.05], Reward=  1898.73 /  1898.73 /  294266.38, epsilon=  0.692, speed=  1.09, gear= 1, damage= 0.00
Ep:200 step:1640(100457), a_t=[s=-0.25, t= 0.001290, b= 0.000000], r_t=[r=-0.35, prog=-0.34, pen=-0.01, r_old=-0.35], Reward=  1914.87 /  1914.87 /  294266.38, epsilon=  0.692, speed= -0.11, gear= 1, damage= 0.00
Ep:200 step:1660(100477), a_t=[s= 0.37, t= 0.003328, b= 0.000000], r_t=[r= 1.54, prog= 1.63, pen=-0.10, r_old= 1.54], Reward=  1946.91 /  1946.91 /  294266.38, epsilon=  0.692, speed=  0.55, gear= 1, damage= 0.00
Ep:200 step:1680(100497), a_t=[s=-0.66, t= 0.002708, b= 0.000000], r_t=[r= 0.34, prog= 0.36, pen=-0.02, r_old= 0.34], Reward=  1990.50 /  1990.50 /  294266.38, epsilon=  0.692, speed=  0.12, gear= 1, damage= 0.00
Ep:200 step:1700(100517), a_t=[s= 0.33, t= 0.012583, b= 0.000000], r_t=[r=-0.18, prog=-0.17, pen=-0.01, r_old=-0.18], Reward=  1995.90 /  1995.90 /  294266.38, epsilon=  0.692, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:1720(100537), a_t=[s=-0.37, t= 0.004218, b= 0.000000], r_t=[r= 0.44, prog= 0.47, pen=-0.03, r_old= 0.44], Reward=  2000.75 /  2000.75 /  294266.38, epsilon=  0.692, speed=  0.16, gear= 1, damage= 0.00
Ep:200 step:1740(100557), a_t=[s=-0.18, t= 0.000319, b= 0.000000], r_t=[r= 1.90, prog= 2.03, pen=-0.13, r_old= 1.90], Reward=  2013.11 /  2013.11 /  294266.38, epsilon=  0.692, speed=  0.68, gear= 1, damage= 0.00
Ep:200 step:1760(100577), a_t=[s=-0.45, t= 0.013073, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward=  2019.02 /  2019.02 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:1780(100597), a_t=[s= 0.53, t= 0.045074, b= 0.000000], r_t=[r= 0.17, prog= 0.19, pen=-0.01, r_old= 0.17], Reward=  2018.54 /  2018.54 /  294266.38, epsilon=  0.692, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:1800(100617), a_t=[s=-0.13, t= 0.010095, b= 0.000000], r_t=[r=-0.29, prog=-0.27, pen=-0.01, r_old=-0.29], Reward=  2018.73 /  2018.73 /  294266.38, epsilon=  0.692, speed= -0.09, gear= 1, damage= 0.00
Ep:200 step:1820(100637), a_t=[s=-0.02, t= 0.000631, b= 0.000000], r_t=[r= 0.43, prog= 0.45, pen=-0.03, r_old= 0.43], Reward=  2034.59 /  2034.59 /  294266.38, epsilon=  0.692, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:1840(100657), a_t=[s= 0.76, t= 0.000017, b= 0.000000], r_t=[r= 1.42, prog= 1.50, pen=-0.08, r_old= 1.42], Reward=  2049.84 /  2049.84 /  294266.38, epsilon=  0.692, speed=  0.51, gear= 1, damage= 0.00
Ep:200 step:1860(100677), a_t=[s= 0.28, t= 0.000275, b= 0.000000], r_t=[r= 3.36, prog= 3.60, pen=-0.24, r_old= 3.36], Reward=  2110.55 /  2110.55 /  294266.38, epsilon=  0.692, speed=  1.21, gear= 1, damage= 0.00
Ep:200 step:1880(100697), a_t=[s=-0.34, t= 0.086479, b= 0.000000], r_t=[r= 1.37, prog= 1.46, pen=-0.09, r_old= 1.37], Reward=  2151.37 /  2151.37 /  294266.38, epsilon=  0.692, speed=  0.49, gear= 1, damage= 0.00
Ep:200 step:1900(100717), a_t=[s=-0.25, t= 0.002304, b= 0.000000], r_t=[r= 1.19, prog= 1.27, pen=-0.08, r_old= 1.19], Reward=  2183.94 /  2183.94 /  294266.38, epsilon=  0.692, speed=  0.43, gear= 1, damage= 0.00
Ep:200 step:1920(100737), a_t=[s= 0.04, t= 0.091756, b= 0.000000], r_t=[r= 1.12, prog= 1.19, pen=-0.07, r_old= 1.12], Reward=  2209.70 /  2209.70 /  294266.38, epsilon=  0.692, speed=  0.40, gear= 1, damage= 0.00
