=============================================================
 starting episode: 0/2000
Client connected on 3109..............
Ep:0 step:1180(1181), a_t=[s=-0.71, t= 0.629245, b= 0.000000], r_t=[r=-0.10, prog= 0.45, pen=-0.55, r_old=-0.10], Reward=  2144.52 /  2077.52 / -inf, epsilon=  0.996, speed=  0.24, gear= 1, damage= 1922.00
Ep:0 step:1200(1201), a_t=[s= 1.00, t= 0.482476, b= 0.000000], r_t=[r=-0.09, prog= 0.48, pen=-0.57, r_old=-0.09], Reward=  2143.06 /  2076.06 / -inf, epsilon=  0.996, speed=  0.25, gear= 1, damage= 1922.00
Ep:0 step:1220(1221), a_t=[s=-0.55, t= 0.362900, b= 0.000000], r_t=[r=-0.05, prog= 0.73, pen=-0.78, r_old=-0.05], Reward=  2141.59 /  2074.58 / -inf, epsilon=  0.996, speed=  0.35, gear= 1, damage= 1922.00
Ep:0 step:1240(1241), a_t=[s= 0.56, t= 0.479533, b= 0.000000], r_t=[r=-0.00, prog= 0.38, pen=-0.38, r_old=-0.00], Reward=  2141.21 /  2074.20 / -inf, epsilon=  0.996, speed=  0.17, gear= 1, damage= 1922.00
Ep:0 step:1260(1261), a_t=[s= 0.67, t= 0.390425, b= 0.000000], r_t=[r= 0.06, prog= 1.11, pen=-1.05, r_old= 0.06], Reward=  2141.53 /  2074.52 / -inf, epsilon=  0.996, speed=  0.49, gear= 1, damage= 1922.00
Ep:0 step:1280(1281), a_t=[s=-0.06, t= 0.563802, b= 0.000000], r_t=[r= 0.06, prog= 0.69, pen=-0.63, r_old= 0.06], Reward=  2142.74 /  2075.73 / -inf, epsilon=  0.996, speed=  0.30, gear= 1, damage= 1922.00
Ep:0 step:1300(1301), a_t=[s=-0.90, t= 0.485509, b= 0.000000], r_t=[r= 0.14, prog= 0.86, pen=-0.72, r_old= 0.14], Reward=  2146.03 /  2079.02 / -inf, epsilon=  0.996, speed=  0.35, gear= 1, damage= 1922.00
Ep:0 step:1320(1321), a_t=[s=-1.00, t= 0.493514, b= 0.000000], r_t=[r= 0.77, prog= 3.47, pen=-2.70, r_old= 0.77], Reward=  2153.98 /  2086.98 / -inf, epsilon=  0.996, speed=  1.33, gear= 1, damage= 1922.00
Ep:0 step:1340(1341), a_t=[s= 0.27, t= 0.563962, b= 0.000000], r_t=[r= 1.70, prog= 5.55, pen=-3.85, r_old= 1.70], Reward=  2178.09 /  2111.08 / -inf, epsilon=  0.996, speed=  1.99, gear= 1, damage= 1922.00
Ep:0 step:1360(1361), a_t=[s=-0.13, t= 0.488639, b= 0.000000], r_t=[r= 1.84, prog= 5.32, pen=-3.48, r_old= 1.84], Reward=  2213.62 /  2146.61 / -inf, epsilon=  0.995, speed=  1.85, gear= 1, damage= 1922.00
Ep:0 step:1380(1381), a_t=[s=-0.15, t= 0.433384, b= 0.027015], r_t=[r= 2.08, prog= 5.73, pen=-3.65, r_old= 2.08], Reward=  2264.23 /  2197.22 / -inf, epsilon=  0.995, speed=  1.97, gear= 1, damage= 1922.00
Ep:0 step:1400(1401), a_t=[s= 0.70, t= 0.514956, b= 0.000000], r_t=[r=-1.12, prog= 8.59, pen=-9.71, r_old=-4.00], Reward=  2312.73 /  2225.27 / -inf, epsilon=  0.995, speed=  3.01, gear= 1, damage= 1957.00
Ep:0 step:1420(1421), a_t=[s= 1.00, t= 0.618657, b= 0.000000], r_t=[r= 15.13, prog= 37.36, pen=-22.23, r_old= 15.13], Reward=  2433.52 /  2346.07 / -inf, epsilon=  0.995, speed=  12.57, gear= 1, damage= 1957.00
Ep:0 step:1440(1441), a_t=[s=-0.33, t= 0.429980, b= 0.000000], r_t=[r= 2.07, prog= 21.62, pen=-19.55, r_old= 2.07], Reward=  2719.46 /  2612.40 / -inf, epsilon=  0.995, speed=  9.18, gear= 1, damage= 1975.00
Ep:0 step:1460(1461), a_t=[s=-0.16, t= 0.487939, b= 0.028779], r_t=[r= 0.05, prog= 0.59, pen=-0.54, r_old= 0.05], Reward=  2720.76 /  2613.70 / -inf, epsilon=  0.995, speed=  0.25, gear= 1, damage= 1975.00
Ep:0 step:1480(1481), a_t=[s=-1.00, t= 0.426626, b= 0.000000], r_t=[r= 0.18, prog= 1.35, pen=-1.17, r_old= 0.18], Reward=  2722.90 /  2615.84 / -inf, epsilon=  0.995, speed=  0.56, gear= 1, damage= 1975.00
Ep:0 step:1500(1501), a_t=[s= 0.71, t= 0.423139, b= 0.000000], r_t=[r= 0.32, prog= 1.76, pen=-1.44, r_old= 0.32], Reward=  2727.97 /  2620.91 / -inf, epsilon=  0.995, speed=  0.70, gear= 1, damage= 1975.00
Ep:0 step:1520(1521), a_t=[s=-0.71, t= 0.529291, b= 0.000000], r_t=[r= 0.33, prog= 1.58, pen=-1.25, r_old= 0.33], Reward=  2733.45 /  2626.39 / -inf, epsilon=  0.995, speed=  0.61, gear= 1, damage= 1975.00
Ep:0 step:1540(1541), a_t=[s=-1.00, t= 0.340289, b= 0.000000], r_t=[r= 0.36, prog= 1.34, pen=-0.98, r_old= 0.36], Reward=  2745.88 /  2638.82 / -inf, epsilon=  0.995, speed=  0.49, gear= 1, damage= 1975.00
Ep:0 step:1560(1561), a_t=[s=-0.25, t= 0.471061, b= 0.000000], r_t=[r= 0.64, prog= 2.16, pen=-1.51, r_old= 0.64], Reward=  2762.64 /  2655.58 / -inf, epsilon=  0.995, speed=  0.78, gear= 1, damage= 1975.00
Ep:0 step:1580(1581), a_t=[s= 1.00, t= 0.434176, b= 0.000000], r_t=[r= 2.52, prog= 7.04, pen=-4.53, r_old= 2.52], Reward=  2819.57 /  2712.51 / -inf, epsilon=  0.995, speed=  2.43, gear= 1, damage= 1975.00
