=============================================================
 starting episode: 1700/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1700 step:840(1704264), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45958.52 /  45958.52 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:860(1704284), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.05, pen= 0.02, r_old= 0.00], Reward=  45958.43 /  45958.43 /  260769.07, epsilon=  0.100, speed= -0.04, gear= 1, damage= 37.00
Ep:1700 step:880(1704304), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.03, r_old= 0.01], Reward=  45958.06 /  45958.06 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:900(1704324), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.04, pen= 0.02, r_old= 0.00], Reward=  45957.76 /  45957.76 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:920(1704344), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward=  45957.18 /  45957.18 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:940(1704364), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward=  45956.99 /  45956.99 /  260769.07, epsilon=  0.100, speed= -0.00, gear= 1, damage= 37.00
Ep:1700 step:960(1704384), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward=  45956.64 /  45956.64 /  260769.07, epsilon=  0.100, speed= -0.00, gear= 1, damage= 37.00
Ep:1700 step:980(1704404), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward=  45956.44 /  45956.44 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1000(1704424), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.00, r_old= 0.00], Reward=  45956.03 /  45956.03 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:1020(1704444), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward=  45955.69 /  45955.69 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1040(1704464), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.06, prog= 0.04, pen=-0.08, r_old=-0.06], Reward=  45955.25 /  45955.25 /  260769.07, epsilon=  0.100, speed=  0.03, gear= 1, damage= 37.00
Ep:1700 step:1060(1704484), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.17, prog= 0.12, pen=-0.21, r_old=-0.17], Reward=  45954.72 /  45954.72 /  260769.07, epsilon=  0.100, speed=  0.09, gear= 1, damage= 37.00
Ep:1700 step:1080(1704504), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45954.20 /  45954.20 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:1100(1704524), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.07, prog= 0.05, pen=-0.09, r_old=-0.07], Reward=  45953.89 /  45953.89 /  260769.07, epsilon=  0.100, speed=  0.04, gear= 1, damage= 37.00
Ep:1700 step:1120(1704544), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.01, prog= 0.01, pen=-0.01, r_old=-0.01], Reward=  45953.52 /  45953.52 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:1140(1704564), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.03, r_old= 0.01], Reward=  45953.14 /  45953.14 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:1160(1704584), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.01, prog= 0.00, pen=-0.01, r_old=-0.01], Reward=  45952.80 /  45952.80 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:1180(1704604), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.01, prog= 0.00, pen=-0.01, r_old=-0.01], Reward=  45952.30 /  45952.30 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:1200(1704624), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.03, r_old= 0.01], Reward=  45952.01 /  45952.01 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:1220(1704644), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.05, prog= 0.03, pen=-0.06, r_old=-0.05], Reward=  45951.68 /  45951.68 /  260769.07, epsilon=  0.100, speed=  0.03, gear= 1, damage= 37.00
Ep:1700 step:1240(1704664), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.01, r_old= 0.00], Reward=  45951.09 /  45951.09 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:1260(1704684), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog= 0.02, pen=-0.04, r_old=-0.03], Reward=  45950.62 /  45950.62 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1280(1704704), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45950.21 /  45950.21 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:1300(1704724), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward=  45949.73 /  45949.73 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1320(1704744), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.02, r_old= 0.01], Reward=  45949.54 /  45949.54 /  260769.07, epsilon=  0.100, speed= -0.04, gear= 1, damage= 37.00
Ep:1700 step:1340(1704764), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog= 0.02, pen=-0.04, r_old=-0.03], Reward=  45949.11 /  45949.11 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 37.00
Ep:1700 step:1360(1704784), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.08, prog= 0.06, pen=-0.10, r_old=-0.08], Reward=  45948.77 /  45948.77 /  260769.07, epsilon=  0.100, speed=  0.04, gear= 1, damage= 37.00
Ep:1700 step:1380(1704804), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.04, prog= 0.03, pen=-0.05, r_old=-0.04], Reward=  45948.43 /  45948.43 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 37.00
Ep:1700 step:1400(1704824), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward=  45948.11 /  45948.11 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1420(1704844), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.01, r_old= 0.00], Reward=  45947.87 /  45947.87 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:1440(1704864), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward=  45947.47 /  45947.47 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1460(1704884), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.05, pen= 0.02, r_old= 0.00], Reward=  45947.04 /  45947.04 /  260769.07, epsilon=  0.100, speed= -0.04, gear= 1, damage= 37.00
