=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:2 step:880(1131), a_t=[s= 0.19, t= 0.371143, b= 0.000000], r_t=[r=-0.08, prog= 0.01, pen=-0.09, r_old=-0.08], Reward= -238.13 / -238.13 / -29.69, epsilon=  0.996, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:900(1151), a_t=[s= 1.00, t= 0.517533, b= 0.000000], r_t=[r= 0.04, prog=-0.03, pen= 0.05, r_old= 0.04], Reward= -242.03 / -242.03 / -29.69, epsilon=  0.996, speed= -0.09, gear= 1, damage= 120.00
Ep:2 step:920(1171), a_t=[s= 1.00, t= 0.463748, b= 0.000000], r_t=[r=-0.09, prog= 0.01, pen=-0.10, r_old=-0.09], Reward= -243.39 / -243.39 / -29.69, epsilon=  0.996, speed=  0.04, gear= 1, damage= 120.00
Ep:2 step:940(1191), a_t=[s= 0.36, t= 0.285695, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -246.50 / -246.50 / -29.69, epsilon=  0.996, speed= -0.03, gear= 1, damage= 120.00
Ep:2 step:960(1211), a_t=[s= 0.21, t= 0.520709, b= 0.000000], r_t=[r=-0.26, prog= 0.03, pen=-0.27, r_old=-0.26], Reward= -248.75 / -248.75 / -29.69, epsilon=  0.996, speed=  0.11, gear= 1, damage= 120.00
Ep:2 step:980(1231), a_t=[s=-0.76, t= 0.215136, b= 0.000000], r_t=[r=-0.07, prog= 0.01, pen=-0.08, r_old=-0.07], Reward= -250.32 / -250.32 / -29.69, epsilon=  0.996, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:1000(1251), a_t=[s=-0.02, t= 0.439538, b= 0.000000], r_t=[r= 0.02, prog=-0.02, pen= 0.03, r_old= 0.02], Reward= -252.25 / -252.25 / -29.69, epsilon=  0.996, speed= -0.06, gear= 1, damage= 120.00
Ep:2 step:1020(1271), a_t=[s=-0.24, t= 0.600948, b= 0.000000], r_t=[r=-0.23, prog= 0.03, pen=-0.24, r_old=-0.23], Reward= -255.72 / -255.72 / -29.69, epsilon=  0.996, speed=  0.09, gear= 1, damage= 120.00
Ep:2 step:1040(1291), a_t=[s= 0.49, t= 0.423250, b= 0.000000], r_t=[r=-0.47, prog= 0.06, pen=-0.49, r_old=-0.47], Reward= -258.66 / -258.66 / -29.69, epsilon=  0.996, speed=  0.20, gear= 1, damage= 120.00
Ep:2 step:1060(1311), a_t=[s=-0.62, t= 0.505568, b= 0.000000], r_t=[r=-0.61, prog= 0.08, pen=-0.64, r_old=-0.61], Reward= -261.26 / -261.26 / -29.69, epsilon=  0.996, speed=  0.26, gear= 1, damage= 120.00
Ep:2 step:1080(1331), a_t=[s=-0.06, t= 0.462593, b= 0.000000], r_t=[r=-0.04, prog= 0.01, pen=-0.04, r_old=-0.04], Reward= -264.23 / -264.23 / -29.69, epsilon=  0.996, speed=  0.02, gear= 1, damage= 120.00
Ep:2 step:1100(1351), a_t=[s=-1.00, t= 0.453871, b= 0.000000], r_t=[r=-0.17, prog= 0.02, pen=-0.18, r_old=-0.17], Reward= -266.01 / -266.01 / -29.69, epsilon=  0.995, speed=  0.07, gear= 1, damage= 120.00
Ep:2 step:1120(1371), a_t=[s=-0.85, t= 0.498485, b= 0.000000], r_t=[r=-0.34, prog= 0.05, pen=-0.35, r_old=-0.34], Reward= -267.99 / -267.99 / -29.69, epsilon=  0.995, speed=  0.14, gear= 1, damage= 120.00
Ep:2 step:1140(1391), a_t=[s=-0.44, t= 0.492152, b= 0.000000], r_t=[r=-0.07, prog= 0.01, pen=-0.07, r_old=-0.07], Reward= -270.92 / -270.92 / -29.69, epsilon=  0.995, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:1160(1411), a_t=[s=-0.86, t= 0.300050, b= 0.000000], r_t=[r=-0.01, prog= 0.00, pen=-0.01, r_old=-0.01], Reward= -273.56 / -273.56 / -29.69, epsilon=  0.995, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:1180(1431), a_t=[s=-0.63, t= 0.454870, b= 0.000000], r_t=[r=-0.35, prog= 0.05, pen=-0.36, r_old=-0.35], Reward= -275.94 / -275.94 / -29.69, epsilon=  0.995, speed=  0.15, gear= 1, damage= 120.00
Ep:2 step:1200(1451), a_t=[s= 0.54, t= 0.686730, b= 0.000000], r_t=[r=-0.01, prog= 0.00, pen=-0.01, r_old=-0.01], Reward= -278.17 / -278.17 / -29.69, epsilon=  0.995, speed=  0.00, gear= 1, damage= 120.00
Ep:2 step:1220(1471), a_t=[s=-1.00, t= 0.657797, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -281.16 / -281.16 / -29.69, epsilon=  0.995, speed= -0.03, gear= 1, damage= 120.00
Ep:2 step:1240(1491), a_t=[s= 0.05, t= 0.586554, b= 0.000000], r_t=[r=-0.36, prog= 0.05, pen=-0.38, r_old=-0.36], Reward= -283.62 / -283.62 / -29.69, epsilon=  0.995, speed=  0.15, gear= 1, damage= 120.00
Ep:2 step:1260(1511), a_t=[s=-0.58, t= 0.407413, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -286.16 / -286.16 / -29.69, epsilon=  0.995, speed= -0.02, gear= 1, damage= 120.00
Ep:2 step:1280(1531), a_t=[s=-0.95, t= 0.570781, b= 0.000000], r_t=[r=-0.20, prog= 0.03, pen=-0.21, r_old=-0.20], Reward= -287.68 / -287.68 / -29.69, epsilon=  0.995, speed=  0.09, gear= 1, damage= 120.00
Ep:2 step:1300(1551), a_t=[s=-0.61, t= 0.577117, b= 0.000000], r_t=[r=-0.41, prog= 0.05, pen=-0.43, r_old=-0.41], Reward= -290.36 / -290.36 / -29.69, epsilon=  0.995, speed=  0.17, gear= 1, damage= 120.00
Ep:2 step:1320(1571), a_t=[s=-1.00, t= 0.318002, b= 0.000000], r_t=[r=-0.08, prog= 0.01, pen=-0.08, r_old=-0.08], Reward= -293.13 / -293.13 / -29.69, epsilon=  0.995, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:1340(1591), a_t=[s=-1.00, t= 0.364575, b= 0.000000], r_t=[r=-0.01, prog= 0.00, pen=-0.01, r_old=-0.01], Reward= -295.91 / -295.91 / -29.69, epsilon=  0.995, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:1360(1611), a_t=[s=-0.16, t= 0.599789, b= 0.000000], r_t=[r=-0.29, prog= 0.04, pen=-0.31, r_old=-0.29], Reward= -299.14 / -299.14 / -29.69, epsilon=  0.995, speed=  0.12, gear= 1, damage= 120.00
Ep:2 step:1380(1631), a_t=[s= 1.00, t= 0.489512, b= 0.000000], r_t=[r=-0.30, prog= 0.04, pen=-0.31, r_old=-0.30], Reward= -301.41 / -301.41 / -29.69, epsilon=  0.995, speed=  0.13, gear= 1, damage= 120.00
Ep:2 step:1400(1651), a_t=[s=-0.25, t= 0.615390, b= 0.000000], r_t=[r=-0.28, prog= 0.04, pen=-0.29, r_old=-0.28], Reward= -303.72 / -303.72 / -29.69, epsilon=  0.994, speed=  0.12, gear= 1, damage= 120.00
Ep:2 step:1420(1671), a_t=[s=-1.00, t= 0.430130, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -305.56 / -305.56 / -29.69, epsilon=  0.994, speed= -0.02, gear= 1, damage= 120.00
Ep:2 step:1440(1691), a_t=[s= 0.03, t= 0.492736, b= 0.007188], r_t=[r=-0.18, prog= 0.02, pen=-0.19, r_old=-0.18], Reward= -307.34 / -307.34 / -29.69, epsilon=  0.994, speed=  0.08, gear= 1, damage= 120.00
Ep:2 step:1460(1711), a_t=[s=-0.72, t= 0.323734, b= 0.000000], r_t=[r=-0.12, prog= 0.02, pen=-0.12, r_old=-0.12], Reward= -310.19 / -310.19 / -29.69, epsilon=  0.994, speed=  0.05, gear= 1, damage= 120.00
Ep:2 step:1480(1731), a_t=[s=-0.34, t= 0.685866, b= 0.000000], r_t=[r=-0.03, prog= 0.00, pen=-0.04, r_old=-0.03], Reward= -312.18 / -312.18 / -29.69, epsilon=  0.994, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:1500(1751), a_t=[s=-0.04, t= 0.501334, b= 0.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward= -315.03 / -315.03 / -29.69, epsilon=  0.994, speed=  0.00, gear= 1, damage= 120.00
