=============================================================
 starting episode: 500/2000
Waiting for server on 3104............
Count Down : 5
Waiting for server on 3104............
Count Down : 4
Waiting for server on 3104............
Count Down : 3
Waiting for server on 3104............
Count Down : 2
Waiting for server on 3104............
Count Down : 1
Waiting for server on 3104............
Count Down : 0
Waiting for server on 3104............
Count Down : -1
Waiting for server on 3104............
Count Down : 4
Client connected on 3104..............
Ep:500 step:1160(116101), a_t=[s=-0.00, t= 0.086610, b= 0.000000], r_t=[r= 46.41, prog= 50.19, pen=-3.79, r_old= 46.41], Reward=  97410.68 /  97410.68 /  291461.42, epsilon=  0.631, speed=  16.73, gear= 1, damage= 0.00
Ep:500 step:1180(116121), a_t=[s= 0.22, t= 0.009869, b= 0.000000], r_t=[r= 40.25, prog= 43.33, pen=-3.08, r_old= 40.25], Reward=  98277.50 /  98277.50 /  291461.42, epsilon=  0.631, speed=  14.53, gear= 1, damage= 0.00
Ep:500 step:1200(116141), a_t=[s= 0.46, t= 0.010748, b= 0.000000], r_t=[r= 133.43, prog= 136.37, pen=-2.94, r_old= 133.43], Reward=  99600.64 /  99600.64 /  291461.42, epsilon=  0.631, speed=  45.49, gear= 1, damage= 0.00
Ep:500 step:1220(116161), a_t=[s=-0.08, t= 0.271415, b= 0.000000], r_t=[r= 123.90, prog= 162.83, pen=-38.92, r_old= 123.90], Reward=  102636.03 /  102636.03 /  291461.42, epsilon=  0.631, speed=  54.28, gear= 2, damage= 0.00
Ep:500 step:1240(116181), a_t=[s= 0.06, t= 0.000299, b= 0.000000], r_t=[r= 145.23, prog= 204.77, pen=-59.54, r_old= 145.23], Reward=  105849.14 /  105849.14 /  291461.42, epsilon=  0.631, speed=  69.15, gear= 2, damage= 0.00
Ep:500 step:1260(116201), a_t=[s= 0.02, t= 0.257599, b= 0.000000], r_t=[r= 200.90, prog= 239.15, pen=-38.26, r_old= 200.90], Reward=  109513.09 /  109513.09 /  291461.42, epsilon=  0.631, speed=  79.72, gear= 2, damage= 0.00
Ep:500 step:1280(116221), a_t=[s=-0.01, t= 0.017693, b= 0.000000], r_t=[r= 144.85, prog= 189.63, pen=-44.78, r_old= 144.85], Reward=  112897.04 /  112897.04 /  291461.42, epsilon=  0.631, speed=  63.22, gear= 2, damage= 0.00
Ep:500 step:1300(116241), a_t=[s=-0.18, t= 0.000008, b= 0.000000], r_t=[r= 119.13, prog= 131.78, pen=-12.65, r_old= 119.13], Reward=  115513.25 /  115513.25 /  291461.42, epsilon=  0.631, speed=  44.51, gear= 1, damage= 0.00
Ep:500 step:1320(116261), a_t=[s= 0.29, t= 0.461552, b= 0.000000], r_t=[r= 95.01, prog= 100.59, pen=-5.58, r_old= 95.01], Reward=  117421.30 /  117421.30 /  291461.42, epsilon=  0.631, speed=  33.91, gear= 1, damage= 0.00
Ep:500 step:1340(116281), a_t=[s= 0.23, t= 0.000281, b= 0.000000], r_t=[r= 67.47, prog= 86.77, pen=-19.30, r_old= 67.47], Reward=  119110.50 /  119110.50 /  291461.42, epsilon=  0.631, speed=  29.47, gear= 1, damage= 0.00
Ep:500 step:1360(116301), a_t=[s=-0.42, t= 0.111495, b= 0.000000], r_t=[r= 56.33, prog= 61.05, pen=-4.71, r_old= 56.33], Reward=  120319.52 /  120319.52 /  291461.42, epsilon=  0.631, speed=  20.38, gear= 1, damage= 0.00
Ep:500 step:1380(116321), a_t=[s= 0.23, t= 0.069631, b= 0.000000], r_t=[r= 55.63, prog= 58.80, pen=-3.17, r_old= 55.63], Reward=  121429.82 /  121429.82 /  291461.42, epsilon=  0.631, speed=  19.60, gear= 1, damage= 0.00
Ep:500 step:1400(116341), a_t=[s= 0.17, t= 0.167009, b= 0.000000], r_t=[r= 69.26, prog= 76.93, pen=-7.67, r_old= 69.26], Reward=  122609.64 /  122609.64 /  291461.42, epsilon=  0.631, speed=  25.70, gear= 1, damage= 0.00
Ep:500 step:1420(116361), a_t=[s=-0.11, t= 0.004159, b= 0.000000], r_t=[r= 55.65, prog= 58.90, pen=-3.25, r_old= 55.65], Reward=  123908.12 /  123908.12 /  291461.42, epsilon=  0.631, speed=  19.79, gear= 1, damage= 0.00
Ep:500 step:1440(116381), a_t=[s= 0.25, t= 0.257410, b= 0.000000], r_t=[r= 122.98, prog= 141.77, pen=-18.80, r_old= 122.98], Reward=  125531.49 /  125531.49 /  291461.42, epsilon=  0.631, speed=  47.76, gear= 1, damage= 0.00
Ep:500 step:1460(116401), a_t=[s= 0.13, t= 0.097599, b= 0.000000], r_t=[r= 68.41, prog= 87.88, pen=-19.47, r_old= 68.41], Reward=  127221.52 /  127221.52 /  291461.42, epsilon=  0.631, speed=  29.32, gear= 1, damage= 0.00
Ep:500 step:1480(116421), a_t=[s=-0.47, t= 0.034922, b= 0.000000], r_t=[r= 64.65, prog= 82.54, pen=-17.89, r_old= 64.65], Reward=  128554.13 /  128554.13 /  291461.42, epsilon=  0.631, speed=  27.52, gear= 1, damage= 0.00
Ep:500 step:1500(116441), a_t=[s=-0.55, t= 0.054503, b= 0.000000], r_t=[r= 62.79, prog= 80.99, pen=-18.20, r_old= 62.79], Reward=  129850.32 /  129850.32 /  291461.42, epsilon=  0.631, speed=  27.00, gear= 1, damage= 0.00
