=============================================================
 starting episode: 200/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:200 step:980(79838), a_t=[s= 0.98, t= 1.000000, b= 0.000000], r_t=[r= 50.40, prog= 139.88, pen=-89.48, r_old= 50.40], Reward=  232894.86 /  232894.86 /  120736.18, epsilon=  0.797, speed=  48.43, gear= 1, damage= 387.00
META = 1 ... Running backwards
=============================================================
 starting episode: 201/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:201 step:0(79845), a_t=[s= 0.08, t= 0.555655, b= 0.000000], r_t=[r= 0.14, prog= 0.14, pen=-0.00, r_old= 0.14], Reward=  0.14 /  0.14 /  120736.18, epsilon=  0.797, speed=  0.05, gear= 1, damage= 0.00
META = 1 ... out of track
=============================================================
 starting episode: 202/2000
Client connected on 3104..............
Ep:202 step:0(79865), a_t=[s= 0.53, t= 0.622683, b= 0.000000], r_t=[r= 0.38, prog= 0.38, pen=-0.00, r_old= 0.38], Reward=  0.38 /  0.38 /  120736.18, epsilon=  0.797, speed=  0.13, gear= 1, damage= 0.00
Ep:202 step:20(79885), a_t=[s=-0.72, t= 0.549752, b= 0.000000], r_t=[r= 117.81, prog= 136.06, pen=-18.25, r_old= 117.81], Reward=  1087.90 /  1087.90 /  120736.18, epsilon=  0.797, speed=  45.39, gear= 1, damage= 0.00
Ep:202 step:40(79905), a_t=[s= 0.70, t= 0.508425, b= 0.000347], r_t=[r= 185.56, prog= 245.25, pen=-59.69, r_old= 185.56], Reward=  4544.24 /  4544.24 /  120736.18, epsilon=  0.797, speed=  82.26, gear= 1, damage= 0.00
Ep:202 step:60(79925), a_t=[s=-0.63, t= 0.657599, b= 0.000000], r_t=[r= 197.21, prog= 239.92, pen=-42.71, r_old= 197.21], Reward=  8372.85 /  8372.85 /  120736.18, epsilon=  0.797, speed=  82.33, gear= 1, damage= 0.00
Ep:202 step:80(79945), a_t=[s=-0.08, t= 0.586290, b= 0.000000], r_t=[r= 236.52, prog= 249.67, pen=-13.15, r_old= 236.52], Reward=  12059.92 /  12059.92 /  120736.18, epsilon=  0.797, speed=  83.71, gear= 1, damage= 0.00
Ep:202 step:100(79965), a_t=[s=-1.00, t= 0.754906, b= 0.000000], r_t=[r= 168.96, prog= 229.59, pen=-60.64, r_old= 168.96], Reward=  15943.22 /  15943.22 /  120736.18, epsilon=  0.797, speed=  80.69, gear= 1, damage= 0.00
