=============================================================
 starting episode: 100/2000
Client connected on 3104..............
Ep:100 step:1320(41610), a_t=[s= 0.11, t= 0.024208, b= 1.000000], r_t=[r=-0.09, prog=-0.09, pen=-0.00, r_old=-0.09], Reward= -25.48 / -25.48 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1340(41630), a_t=[s= 0.11, t= 0.023966, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen=-0.00, r_old=-0.08], Reward= -26.91 / -26.91 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1360(41650), a_t=[s= 0.11, t= 0.023691, b= 1.000000], r_t=[r=-0.32, prog=-0.31, pen=-0.01, r_old=-0.32], Reward= -26.54 / -26.54 /  89455.67, epsilon=  0.892, speed= -0.11, gear= 1, damage= 0.00
Ep:100 step:1380(41670), a_t=[s= 0.11, t= 0.022789, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward= -26.14 / -26.14 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1400(41690), a_t=[s= 0.12, t= 0.022778, b= 1.000000], r_t=[r= 0.14, prog= 0.17, pen=-0.03, r_old= 0.14], Reward= -25.30 / -25.30 /  89455.67, epsilon=  0.892, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1420(41710), a_t=[s= 0.12, t= 0.022598, b= 1.000000], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward= -26.00 / -26.00 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1440(41730), a_t=[s= 0.13, t= 0.022524, b= 1.000000], r_t=[r=-0.24, prog=-0.24, pen=-0.01, r_old=-0.24], Reward= -25.35 / -25.35 /  89455.67, epsilon=  0.892, speed= -0.08, gear= 1, damage= 0.00
Ep:100 step:1460(41750), a_t=[s= 0.14, t= 0.022297, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward= -26.16 / -26.16 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1480(41770), a_t=[s= 0.15, t= 0.022495, b= 1.000000], r_t=[r= 0.07, prog= 0.09, pen=-0.02, r_old= 0.07], Reward= -26.48 / -26.48 /  89455.67, epsilon=  0.892, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:1500(41790), a_t=[s= 0.16, t= 0.022183, b= 1.000000], r_t=[r= 0.05, prog= 0.07, pen=-0.01, r_old= 0.05], Reward= -27.69 / -27.69 /  89455.67, epsilon=  0.892, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1520(41810), a_t=[s= 0.16, t= 0.021725, b= 1.000000], r_t=[r=-0.03, prog=-0.02, pen=-0.00, r_old=-0.03], Reward= -28.91 / -28.91 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1540(41830), a_t=[s= 0.17, t= 0.021407, b= 1.000000], r_t=[r=-0.24, prog=-0.23, pen=-0.01, r_old=-0.24], Reward= -29.90 / -29.90 /  89455.67, epsilon=  0.892, speed= -0.08, gear= 1, damage= 0.00
Ep:100 step:1560(41850), a_t=[s= 0.18, t= 0.021657, b= 1.000000], r_t=[r= 0.17, prog= 0.21, pen=-0.04, r_old= 0.17], Reward= -30.50 / -30.50 /  89455.67, epsilon=  0.892, speed=  0.08, gear= 1, damage= 0.00
Ep:100 step:1580(41870), a_t=[s= 0.19, t= 0.021530, b= 1.000000], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward= -30.08 / -30.08 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1600(41890), a_t=[s= 0.18, t= 0.020971, b= 1.000000], r_t=[r= 0.09, prog= 0.12, pen=-0.02, r_old= 0.09], Reward= -30.86 / -30.86 /  89455.67, epsilon=  0.892, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:1620(41910), a_t=[s= 0.19, t= 0.020853, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward= -29.91 / -29.91 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1640(41930), a_t=[s= 0.19, t= 0.020297, b= 1.000000], r_t=[r=-0.16, prog=-0.16, pen=-0.00, r_old=-0.16], Reward= -31.18 / -31.18 /  89455.67, epsilon=  0.892, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:1660(41950), a_t=[s= 0.20, t= 0.020246, b= 1.000000], r_t=[r=-0.15, prog=-0.14, pen=-0.00, r_old=-0.15], Reward= -31.88 / -31.88 /  89455.67, epsilon=  0.892, speed= -0.05, gear= 1, damage= 0.00
