=============================================================
 starting episode: 500/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:500 step:1320(155893), a_t=[s= 0.73, t= 0.000000, b= 0.000000], r_t=[r=-0.03, prog=-0.05, pen= 0.02, r_old=-0.03], Reward=  149.27 /  149.27 /  287635.09, epsilon=  0.626, speed= -0.02, gear= 1, damage= 0.00
Ep:500 step:1340(155913), a_t=[s= 0.62, t= 0.000000, b= 0.000000], r_t=[r=-0.12, prog=-0.19, pen= 0.08, r_old=-0.12], Reward=  148.86 /  148.86 /  287635.09, epsilon=  0.626, speed= -0.06, gear= 1, damage= 0.00
Ep:500 step:1360(155933), a_t=[s= 0.63, t= 0.000000, b= 0.000000], r_t=[r=-0.25, prog=-0.41, pen= 0.16, r_old=-0.25], Reward=  146.83 /  146.83 /  287635.09, epsilon=  0.626, speed= -0.14, gear= 1, damage= 0.00
Ep:500 step:1380(155953), a_t=[s= 0.44, t= 0.000000, b= 0.000000], r_t=[r=-0.22, prog=-0.36, pen= 0.14, r_old=-0.22], Reward=  143.75 /  143.75 /  287635.09, epsilon=  0.626, speed= -0.12, gear= 1, damage= 0.00
Ep:500 step:1400(155973), a_t=[s= 0.50, t= 0.000000, b= 0.000000], r_t=[r=-0.07, prog=-0.12, pen= 0.05, r_old=-0.07], Reward=  142.53 /  142.53 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:1420(155993), a_t=[s= 0.51, t= 0.000000, b= 0.000000], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward=  141.26 /  141.26 /  287635.09, epsilon=  0.626, speed= -0.00, gear= 1, damage= 0.00
Ep:500 step:1440(156013), a_t=[s= 0.42, t= 0.000000, b= 0.000000], r_t=[r=-0.19, prog=-0.32, pen= 0.14, r_old=-0.19], Reward=  138.73 /  138.73 /  287635.09, epsilon=  0.626, speed= -0.11, gear= 1, damage= 0.00
Ep:500 step:1460(156033), a_t=[s= 0.50, t= 0.000000, b= 0.000000], r_t=[r=-0.15, prog=-0.27, pen= 0.12, r_old=-0.15], Reward=  135.82 /  135.82 /  287635.09, epsilon=  0.626, speed= -0.09, gear= 1, damage= 0.00
Ep:500 step:1480(156053), a_t=[s= 0.58, t= 0.000000, b= 0.000000], r_t=[r=-0.10, prog=-0.17, pen= 0.08, r_old=-0.10], Reward=  133.58 /  133.58 /  287635.09, epsilon=  0.626, speed= -0.06, gear= 1, damage= 0.00
Ep:500 step:1500(156073), a_t=[s= 0.54, t= 0.000000, b= 0.000000], r_t=[r=-0.09, prog=-0.16, pen= 0.07, r_old=-0.09], Reward=  131.36 /  131.36 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1520(156093), a_t=[s= 0.05, t= 0.000000, b= 0.000000], r_t=[r=-0.12, prog=-0.21, pen= 0.09, r_old=-0.12], Reward=  129.48 /  129.48 /  287635.09, epsilon=  0.626, speed= -0.07, gear= 1, damage= 0.00
Ep:500 step:1540(156113), a_t=[s= 0.15, t= 0.000000, b= 0.000000], r_t=[r=-0.10, prog=-0.19, pen= 0.09, r_old=-0.10], Reward=  127.51 /  127.51 /  287635.09, epsilon=  0.626, speed= -0.06, gear= 1, damage= 0.00
Ep:500 step:1560(156133), a_t=[s=-0.04, t= 0.000000, b= 0.000000], r_t=[r=-0.13, prog=-0.25, pen= 0.11, r_old=-0.13], Reward=  124.85 /  124.85 /  287635.09, epsilon=  0.626, speed= -0.08, gear= 1, damage= 0.00
Ep:500 step:1580(156153), a_t=[s= 0.43, t= 0.000000, b= 0.000000], r_t=[r=-0.08, prog=-0.15, pen= 0.07, r_old=-0.08], Reward=  122.36 /  122.36 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1600(156173), a_t=[s= 0.30, t= 0.000000, b= 0.000000], r_t=[r=-0.15, prog=-0.30, pen= 0.14, r_old=-0.15], Reward=  119.35 /  119.35 /  287635.09, epsilon=  0.626, speed= -0.10, gear= 1, damage= 0.00
Ep:500 step:1620(156193), a_t=[s= 0.32, t= 0.000000, b= 0.000000], r_t=[r=-0.09, prog=-0.18, pen= 0.09, r_old=-0.09], Reward=  115.86 /  115.86 /  287635.09, epsilon=  0.626, speed= -0.06, gear= 1, damage= 0.00
Ep:500 step:1640(156213), a_t=[s= 0.10, t= 0.000000, b= 0.000000], r_t=[r=-0.16, prog=-0.31, pen= 0.15, r_old=-0.16], Reward=  112.63 /  112.63 /  287635.09, epsilon=  0.626, speed= -0.10, gear= 1, damage= 0.00
