=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1001 step:400(387809), a_t=[s=-0.40, t= 0.854339, b= 0.000000], r_t=[r= 427.36, prog= 445.88, pen=-18.51, r_old= 427.36], Reward=  146418.39 /  146418.39 /  762017.60, epsilon=  0.100, speed=  148.63, gear= 5, damage= 0.00
Ep:1001 step:420(387829), a_t=[s= 0.62, t= 0.461465, b= 0.000000], r_t=[r= 333.84, prog= 379.53, pen=-45.70, r_old= 333.84], Reward=  153407.49 /  153407.49 /  762017.60, epsilon=  0.100, speed=  126.63, gear= 4, damage= 0.00
Ep:1001 step:440(387849), a_t=[s= 0.82, t= 0.638370, b= 0.000000], r_t=[r= 332.05, prog= 355.05, pen=-23.00, r_old= 332.05], Reward=  160292.75 /  160292.75 /  762017.60, epsilon=  0.100, speed=  118.35, gear= 4, damage= 0.00
Ep:1001 step:460(387869), a_t=[s= 0.31, t= 0.951127, b= 0.000000], r_t=[r= 399.47, prog= 411.89, pen=-12.43, r_old= 399.47], Reward=  167362.29 /  167362.29 /  762017.60, epsilon=  0.100, speed=  137.52, gear= 4, damage= 0.00
Ep:1001 step:480(387889), a_t=[s= 0.13, t= 0.798665, b= 0.000000], r_t=[r= 423.12, prog= 432.73, pen=-9.61, r_old= 423.12], Reward=  175564.28 /  175564.28 /  762017.60, epsilon=  0.100, speed=  144.41, gear= 5, damage= 0.00
Ep:1001 step:500(387909), a_t=[s=-0.26, t= 0.085938, b= 0.000000], r_t=[r= 424.17, prog= 428.89, pen=-4.72, r_old= 424.17], Reward=  183875.22 /  183875.22 /  762017.60, epsilon=  0.100, speed=  142.98, gear= 5, damage= 0.00
Ep:1001 step:520(387929), a_t=[s=-0.02, t= 0.153111, b= 0.000000], r_t=[r= 392.39, prog= 409.70, pen=-17.31, r_old= 392.39], Reward=  192057.21 /  192057.21 /  762017.60, epsilon=  0.100, speed=  136.93, gear= 4, damage= 0.00
Ep:1001 step:540(387949), a_t=[s= 0.38, t= 0.351359, b= 0.000000], r_t=[r= 356.53, prog= 410.37, pen=-53.84, r_old= 356.53], Reward=  199194.38 /  199194.38 /  762017.60, epsilon=  0.100, speed=  136.83, gear= 4, damage= 0.00
Ep:1001 step:560(387969), a_t=[s= 0.23, t= 0.941626, b= 0.000000], r_t=[r= 388.39, prog= 426.63, pen=-38.24, r_old= 388.39], Reward=  206859.46 /  206859.46 /  762017.60, epsilon=  0.100, speed=  142.31, gear= 5, damage= 0.00
Ep:1001 step:580(387989), a_t=[s= 0.22, t= 0.945869, b= 0.000000], r_t=[r= 412.14, prog= 419.99, pen=-7.85, r_old= 412.14], Reward=  214722.74 /  214722.74 /  762017.60, epsilon=  0.100, speed=  140.01, gear= 4, damage= 0.00
